feature,mean_importance
AMT_ANNUITY,-0.010643820769194744
AMT_CREDIT,-0.009760718827087156
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.006364772873967073
ALL_DAYS_CREDIT_ENDDATE_max,-0.003459506794177869
POS_CNT_INSTALMENT_MEAN,-0.002280965536019852
ALL_DAYS_CREDIT_max,-0.002210091372212508
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,-0.0021799124731539444
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.0020688873409654197
PREV_INST_DPD_MEAN_MEAN,-0.0019829663485096518
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.0019538569388660052
PREV_AMT_DOWN_PAYMENT_SUM,-0.0018744420819230556
PREV_AMT_DOWN_PAYMENT_MAX,-0.0016612637544350939
ALL_AMT_CREDIT_SUM_max,-0.0016071984926428807
DEBT_RATIO,-0.001597856520375429
PREV_INST_AMT_INSTALMENT_MAX_MAX,-0.0015674687531336384
ACTIVE_AMT_CREDIT_SUM_sum,-0.0015543397585897733
PREV_INST_EARLY_PAYMENT_MEAN_MEAN,-0.0014760991168674576
ALL_DAYS_CREDIT_UPDATE_mean,-0.0013740317868391916
PREV_AMT_GOODS_PRICE_MEAN,-0.0013554164147808524
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.0013348985233525346
AMT_REQ_CREDIT_BUREAU_QRT,-0.0013205874621378788
PREV_INST_PAYMENT_DIFF_MAX_MAX,-0.001305001076465684
CLOSED_DAYS_CREDIT_UPDATE_max,-0.0012974876478496044
FLAG_DOCUMENT_3,-0.001207788786537356
POS_SK_DPD_DEF_MEAN,-0.0011895423802406491
PREV_INST_AMT_INSTALMENT_SUM_SUM,-0.0011450787417274233
ALL_DAYS_CREDIT_mean,-0.0011211697564630807
PREV_AMT_DOWN_PAYMENT_MEAN,-0.0010727523384732596
PREV_CCB_AMT_PAYMENT_CURRENT_SUM_SUM,-0.0010720817682480233
ACTIVE_AMT_CREDIT_SUM_max,-0.0010495054575037966
PREV_INST_EARLY_PAYMENT_SUM_SUM,-0.0010470762108351183
ALL_AMT_CREDIT_SUM_mean,-0.0010309720373613996
PREV_INST_PAYMENT_PERC_MEAN_MEAN,-0.0010154134121027614
PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MAX,-0.0010031479942375742
RATIO_DEF_60,-0.000977079393588398
CLOSED_DAYS_ENDDATE_FACT_min,-0.0009724467564821593
APARTMENTS_MEDI,-0.0009373660958752694
POS_MONTHS_BALANCE_MAX,-0.0009257795585934092
PREV_INST_PAYMENT_DIFF_STD_STD,-0.0009250843014073862
PREV_DAYS_DECISION_MAX,-0.0009048543160446121
FLAG_WORK_PHONE,-0.0008962644578037304
REGION_POPULATION_RELATIVE,-0.0008875240725161549
CLOSED_AMT_CREDIT_SUM_max,-0.0008830430860296224
NAME_CLIENT_TYPE_Repeater,-0.000851203143205459
PREV_CCB_AMT_DRAWINGS_CURRENT_MEAN_MEAN,-0.0008483889032829817
PREV_CCB_AMT_TOTAL_RECEIVABLE_MAX_MAX,-0.0008471446486551625
ALL_DAYS_CREDIT_ENDDATE_mean,-0.0008183293962881422
ACTIVE_DAYS_CREDIT_ENDDATE_mean,-0.0008100667347609502
POS_CNT_INSTALMENT_MAX,-0.0007996589141785471
ACTIVE_DAYS_CREDIT_mean,-0.000786667603015312
OWN_CAR_AGE,-0.0007265413875825022
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,-0.0007155073489821361
CLOSED_DAYS_CREDIT_max,-0.000704287503072809
ALL_BB_MONTHS_BALANCE_mean_mean,-0.0007033313216218585
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-0.0006912362637305103
REGION_RATING_CLIENT,-0.0006747526571699858
CLOSED_AMT_CREDIT_SUM_sum,-0.0006663046660172923
LIVINGAPARTMENTS_MEDI,-0.0006640726979526112
RECENT_PHONE_CHANGE,-0.0006577127282851869
NAME_INCOME_TYPE,-0.000655873203267654
ACTIVE_DAYS_CREDIT_max,-0.0006400714109620953
OCCUPATION_TYPE,-0.0006377187908094051
CLOSED_DAYS_CREDIT_min,-0.0006241603707927812
PREV_AMT_APPLICATION_MAX,-0.0005865159265971531
CLOSED_DAYS_CREDIT_ENDDATE_min,-0.0005854271067748274
ACTIVE_DAYS_CREDIT_UPDATE_mean,-0.0005765236956277065
ALL_DAYS_CREDIT_UPDATE_max,-0.000565929309087898
NAME_CONTRACT_TYPE,-0.0005486686436830812
LANDAREA_MEDI,-0.0005453738257021224
PREV_INST_NUM_INSTALMENT_NUMBER_COUNT_COUNT,-0.0005391441706267929
ACTIVE_CREDIT_TYPE_Credit card,-0.000537753459850876
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_SUM_SUM,-0.0005203635639592808
ALL_DAYS_ENDDATE_FACT_mean,-0.0005160446120709983
PREV_AMT_ANNUITY_MEAN,-0.0005091709771581909
ALL_CREDIT_TYPE_Consumer credit,-0.0004952833253782263
TOTALAREA_MODE,-0.0004935155748549081
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,-0.0004871724371173558
PREV_INST_EARLY_REPAY_LOAN_MAX_MEAN,-0.0004860948941956433
PREV_INST_DAYS_INSTALMENT_MAX_MAX,-0.00048396139151198894
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_SUM_SUM,-0.00048127073697605826
PREV_CCB_AMT_PAYMENT_TOTAL_CURRENT_SUM_SUM,-0.0004742024692883762
DEBT_TO_INCOME_RATIO,-0.000469192845885158
FLAG_OWN_CAR,-0.0004680773229565727
PREV_INST_DAYS_ENTRY_PAYMENT_MIN_MIN,-0.00046311115461166174
PREV_RATE_DOWN_PAYMENT_MIN,-0.00046196006874881234
