feature,mean_importance
AMT_ANNUITY,-0.0128145461109203
AMT_CREDIT,-0.011990153336151966
POS_CNT_INSTALMENT_MAX,-0.0036548422366752932
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,-0.003645197889595364
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.0034084862253052515
PREV_INST_AMT_INSTALMENT_MAX_MAX,-0.0029930940836418785
PREV_AMT_GOODS_PRICE_MEAN,-0.002893412982621535
ACTIVE_DAYS_CREDIT_ENDDATE_mean,-0.002541657217854465
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.002513809381939169
PREV_AMT_ANNUITY_MEAN,-0.002195900270487927
PREV_AMT_DOWN_PAYMENT_MAX,-0.00204089059983823
PREV_AMT_DOWN_PAYMENT_SUM,-0.0020292942097553724
FLAG_GOODS_GT_CREDIT,-0.0018094156702488152
ACTIVE_DAYS_CREDIT_ENDDATE_max,-0.0015954061836213728
CLOSED_AMT_CREDIT_SUM_sum,-0.001528028332550746
POS_MONTHS_BALANCE_MAX,-0.0014814404232645906
PREV_INST_EARLY_PAYMENT_MEAN_MEAN,-0.0014178247539490263
PREV_AMT_ANNUITY_MAX,-0.0014113574507525373
OWN_CAR_AGE,-0.001392108340870757
ALL_DAYS_CREDIT_ENDDATE_max,-0.0012876856096111667
ALL_DAYS_CREDIT_max,-0.0011806402165305042
NAME_CONTRACT_TYPE,-0.00118008392886797
DEBT_RATIO,-0.0011631329876907515
PREV_DAYS_DECISION_MAX,-0.0011319434391194871
PREV_INST_NUM_INSTALMENT_NUMBER_COUNT_COUNT,-0.0011279371103703139
POS_CNT_INSTALMENT_MEAN,-0.0010575418603521625
ALL_DAYS_CREDIT_mean,-0.0010270371625914708
PREV_CCB_AMT_BALANCE_MAX_MAX,-0.0009975923184415204
DAYS_ID_PUBLISH,-0.0009131213977132014
CREDIT_ACTIVE_COUNT_ACTIVE,-0.0008897670177423267
PREV_CCB_MONTHS_BALANCE_MEAN_MEAN,-0.0008455677963935093
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.0008245207055523007
DEBT_TO_INCOME_RATIO,-0.0008237879084763477
ACTIVE_DAYS_CREDIT_mean,-0.0007990092971668749
ALL_DAYS_CREDIT_min,-0.0007970806778792694
NAME_INCOME_TYPE,-0.0007966748999084228
CLOSED_DAYS_CREDIT_max,-0.0007645270879027555
PREV_INST_PAYMENT_PERC_MEAN_MEAN,-0.0007628810757827065
PREV_RATE_DOWN_PAYMENT_MAX,-0.0007592059310086219
PREV_AMT_APPLICATION_MAX,-0.0007518527111575635
ACTIVE_AMT_CREDIT_SUM_sum,-0.0007458996112453597
PREV_INST_DPD_SUM_SUM,-0.000737479435172328
ALL_AMT_CREDIT_SUM_mean,-0.0007361237471767313
ALL_AMT_CREDIT_SUM_max,-0.0007264049354646307
ACTIVE_DAYS_CREDIT_max,-0.0007099792791476212
RECENT_PHONE_CHANGE,-0.0006991290379715131
NAME_CLIENT_TYPE_New,-0.0006763694742884629
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,-0.0006687155077768514
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-0.0006546489616393592
NAME_CONTRACT_STATUS_Refused,-0.0006509225579960587
CLOSED_DAYS_CREDIT_UPDATE_max,-0.0006445132717563418
OCCUPATION_TYPE,-0.0006361899811610395
ORG_PREFIX_GROUP,-0.0006138978737047606
PREV_INST_EARLY_REPAY_LOAN_MAX_MEAN,-0.0006101422252462685
AMT_REQ_CREDIT_BUREAU_QRT,-0.0005859039472820183
NAME_PAYMENT_TYPE_XNA,-0.0005695845386425091
ALL_DAYS_CREDIT_UPDATE_max,-0.0005615678541399438
REGION_RATING_CLIENT_W_CITY,-0.0005299425323673779
PREV_CCB_AMT_TOTAL_RECEIVABLE_MAX_MAX,-0.0005078915207558765
FLAG_DOCUMENT_3,-0.0005018984704771468
PREV_AMT_APPLICATION_MEAN,-0.0004899525006659911
ACTIVE_CREDIT_TYPE_Mortgage,-0.00046460571223136957
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.0004600971903690798
PREV_AMT_GOODS_PRICE_MAX,-0.0004519331459864162
PREV_CCB_AMT_RECIVABLE_MAX_MAX,-0.00044952588528559547
WEEKDAY_APPR_PROCESS_START_MONDAY,-0.0004286106643789367
ACTIVE_DAYS_CREDIT_UPDATE_mean,-0.0004184083663547611
PREV_INST_DAYS_ENTRY_PAYMENT_MIN_MIN,-0.00038504840433188913
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,-0.000378022330363148
PREV_AMT_CREDIT_MAX,-0.00036625679832913427
ALL_BB_STATUS_X_sum_sum,-0.00036351704237360674
ACTIVE_DAYS_CREDIT_ENDDATE_min,-0.0003548300802891591
PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MAX,-0.00034405148443921173
NAME_CONTRACT_STATUS_Approved,-0.000342945590246635
PREV_INST_DAYS_INSTALMENT_MEAN_MEAN,-0.00034242976608074295
POS_SK_DPD_DEF_MEAN,-0.00033707272204490656
PREV_CCB_AMT_DRAWINGS_POS_CURRENT_SUM_SUM,-0.00033562572702181546
BUREAU_LOAN_COUNT,-0.0003293452513560835
PREV_DAYS_DECISION_MEAN,-0.00032491869011892495
DEF_30_CNT_SOCIAL_CIRCLE,-0.00032378080239614526
PREV_INST_DAYS_INSTALMENT_MAX_MAX,-0.0002853812436194758
ALL_DAYS_CREDIT_ENDDATE_mean,-0.00028360127257227586
POS_SK_DPD_DEF_MAX,-0.00027858855910642963
CLOSED_AMT_CREDIT_SUM_DEBT_mean,-0.0002769312135091573
PREV_INST_AMT_PAYMENT_MAX_MAX,-0.0002678091321168141
NAME_HOUSING_TYPE,-0.0002558532832994898
PREV_CCB_AMT_PAYMENT_CURRENT_MEAN_MEAN,-0.0002556823535295294
FLOORSMIN_MEDI,-0.0002504641820242792
CLOSED_AMT_CREDIT_SUM_max,-0.00024922850187203416
CLOSED_DAYS_CREDIT_ENDDATE_max,-0.0002478116949951037
NAME_CLIENT_TYPE_Repeater,-0.00023124602723074706
PREV_HOUR_APPR_PROCESS_START_MEAN,-0.0002294255196791717
PREV_INST_AMT_PAYMENT_MEAN_MEAN,-0.00022358298551921062
ALL_BB_STATUS_2_sum_sum,-0.00021513545816378432
PREV_INST_PAYMENT_PERC_STD_STD,-0.0002037321774960521
PREV_INST_AMT_INSTALMENT_MEAN_MEAN,-0.00019637713616957875
NONLIVINGAPARTMENTS_MEDI,-0.0001879499634906523
LANDAREA_MEDI,-0.0001851107962802745
PREV_INST_DAYS_INSTALMENT_MIN_MIN,-0.00018191745183508966
FLAG_WORK_PHONE,-0.0001808790814681771
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MAX_MAX,-0.00016921475155966536
PREV_HOUR_APPR_PROCESS_START_MAX,-0.00015598525546571816
FLAG_PHONE,-0.00015344366064629078
NAME_CONTRACT_TYPE_Consumer loans,-0.0001379766792862336
ALL_BB_MONTHS_BALANCE_mean_mean,-0.0001246437279358581
CLOSED_DAYS_CREDIT_UPDATE_min,-0.00012342411933168317
PREV_CCB_AMT_BALANCE_SUM_SUM,-0.00011759318829600574
FLAG_DOCUMENT_6,-0.00011748803072995085
OBS_30_CNT_SOCIAL_CIRCLE,-0.00011745224083923312
PREV_AMT_DOWN_PAYMENT_MEAN,-0.0001159064112436603
CNT_CHILDREN_CAT,-0.00011469255117040334
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_MEAN_MEAN,-0.00011459561035094268
PREV_CCB_SK_DPD_DEF_MEAN_MEAN,-0.00010419549001152716
CLOSED_CREDIT_TYPE_Consumer credit,-9.632226896036933e-05
YEARS_BUILD_MEDI,-9.539588007732026e-05
ALL_CREDIT_TYPE_Credit card,-9.504529875277168e-05
ALL_BB_STATUS_0_sum_sum,-9.369228710074396e-05
ACTIVE_AMT_ANNUITY_mean,-9.247276235611058e-05
ALL_BB_STATUS_1_sum_sum,-8.882063692179365e-05
ACTIVE_AMT_CREDIT_SUM_LIMIT_sum,-8.55639372493e-05
ALL_AMT_ANNUITY_mean,-8.41625293241055e-05
COMMONAREA_MEDI,-8.408948483149548e-05
FLOORSMAX_MEDI,-8.348837356295658e-05
ALL_DAYS_CREDIT_UPDATE_mean,-8.204829195068708e-05
PREV_CCB_AMT_DRAWINGS_CURRENT_MEAN_MEAN,-8.057539382797519e-05
ACTIVE_CREDIT_TYPE_Credit card,-8.026060747610143e-05
ACTIVE_BB_STATUS_0_sum_sum,-7.867539375197019e-05
CLOSED_BB_STATUS_C_sum_sum,-7.701864929055002e-05
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,-7.270209358281043e-05
SOLD_DAYS_CREDIT_UPDATE_min,-6.86096408667014e-05
CLOSED_DAYS_ENDDATE_FACT_min,-6.708270951776285e-05
POS_SK_DPD_SUM,-6.198118162108468e-05
PREV_DAYS_DECISION_MIN,-5.967496073027157e-05
REGION_RATING_CLIENT,-5.799973946674086e-05
LOAN_HISTORY_TYPE,-5.243971259816238e-05
ACTIVE_AMT_CREDIT_SUM_OVERDUE_mean,-4.803544177378605e-05
PREV_CCB_AMT_DRAWINGS_POS_CURRENT_MEAN_MEAN,-4.158040950434927e-05
CLOSED_CREDIT_TYPE_Credit card,-4.1205018911072425e-05
SOLD_DAYS_CREDIT_min,-3.9493838957582736e-05
SOLD_DAYS_CREDIT_max,-3.891090336574088e-05
POS_SK_DPD_MAX,-3.304229506768674e-05
ORGANIZATION_TYPE,-3.1985524284738887e-05
CLOSED_DAYS_ENDDATE_FACT_mean,-3.158266909879526e-05
LIVINGAPARTMENTS_MEDI,-2.7993362766198792e-05
ELEVATORS_MEDI,-2.6825063878765933e-05
DAYS_EMPLOYED,-2.440699178518635e-05
SOLD_CREDIT_TYPE_Consumer credit,-2.2689963395738923e-05
TOTAL_BUREAU_REQUESTS,-2.2468195503932974e-05
PREV_INST_DPD_MEAN_MEAN,-2.2214657261576674e-05
ALL_DAYS_CREDIT_UPDATE_min,-2.1663161723251e-05
SOLD_AMT_CREDIT_MAX_OVERDUE_max,-1.929937673539328e-05
CLOSED_CNT_CREDIT_PROLONG_mean,-1.9019899205541257e-05
HOUSETYPE_MODE,-1.8340394442595276e-05
ACTIVE_CREDIT_TYPE_Car loan,-1.7732913119949955e-05
AMT_REQ_CREDIT_BUREAU_DAY,-1.6406176674310657e-05
POS_SK_DPD_MEAN,-1.6337697242296834e-05
PREV_CCB_MONTHS_BALANCE_MIN_MIN,-1.3729339088941472e-05
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_SUM_SUM,-1.0772002070313924e-05
PREV_CCB_SK_DPD_SUM_SUM,-1.0618359127301247e-05
ALL_DAYS_CREDIT_ENDDATE_min,-8.35394445233284e-06
WEEKDAY_APPR_PROCESS_START_THURSDAY,-7.452380771644229e-06
ALL_DAYS_ENDDATE_FACT_min,-6.4154275290162485e-06
ALL_AMT_CREDIT_SUM_OVERDUE_mean,-4.878363949378794e-06
RATIO_DEF_60,-4.381733401781496e-06
PREV_CCB_AMT_TOTAL_RECEIVABLE_MEAN_MEAN,-2.594203054684385e-06
PREV_CCB_SK_DPD_MEAN_MEAN,-2.2124604729611975e-06
PREV_AMT_CREDIT_MEAN,-2.09819627239316e-06
CLOSED_CREDIT_TYPE_Real estate loan,0.0
CLOSED_CREDIT_TYPE_Unknown type of loan,0.0
SOLD_CREDIT_TYPE_Another type of loan,0.0
SOLD_CREDIT_TYPE_Car loan,0.0
SOLD_CREDIT_TYPE_Cash loan (non-earmarked),0.0
ALL_BB_STATUS_3_sum_sum,0.0
OVERDUE_RATIO,0.0
SOLD_CREDIT_TYPE_Credit card,0.0
SOLD_CREDIT_TYPE_Loan for business development,0.0
SOLD_CREDIT_TYPE_Loan for working capital replenishment,0.0
CLOSED_CREDIT_TYPE_Microloan,0.0
SOLD_CREDIT_TYPE_Mortgage,0.0
SOLD_CREDIT_TYPE_Real estate loan,0.0
ALL_BB_MONTHS_BALANCE_max_max,0.0
ALL_AMT_ANNUITY_sum,0.0
CREDIT_ACTIVE_COUNT_BAD DEBT,0.0
CREDIT_ACTIVE_COUNT_SOLD,0.0
SOLD_CREDIT_TYPE_Microloan,0.0
CLOSED_CREDIT_TYPE_Mortgage,0.0
CLOSED_CREDIT_TYPE_Loan for the purchase of equipment,0.0
ALL_CREDIT_TYPE_Loan for purchase of shares (margin lending),0.0
ALL_CREDIT_TYPE_Loan for the purchase of equipment,0.0
ALL_CREDIT_TYPE_Loan for working capital replenishment,0.0
ALL_CREDIT_TYPE_Mobile operator loan,0.0
ALL_CREDIT_TYPE_Real estate loan,0.0
ALL_CREDIT_TYPE_Unknown type of loan,0.0
ACTIVE_CREDIT_TYPE_Another type of loan,0.0
ACTIVE_CREDIT_DAY_OVERDUE_max,0.0
ACTIVE_CREDIT_TYPE_Cash loan (non-earmarked),0.0
ACTIVE_CREDIT_TYPE_Loan for business development,0.0
ACTIVE_CREDIT_TYPE_Loan for purchase of shares (margin lending),0.0
ALL_AMT_CREDIT_SUM_OVERDUE_max,0.0
ACTIVE_CREDIT_TYPE_Loan for the purchase of equipment,0.0
ACTIVE_CREDIT_TYPE_Mobile operator loan,0.0
ACTIVE_CREDIT_TYPE_Real estate loan,0.0
ACTIVE_CREDIT_TYPE_Unknown type of loan,0.0
CLOSED_CREDIT_TYPE_Another type of loan,0.0
CLOSED_CREDIT_TYPE_Car loan,0.0
CLOSED_CREDIT_TYPE_Cash loan (non-earmarked),0.0
ALL_BB_STATUS_5_sum_sum,0.0
ALL_BB_STATUS_4_sum_sum,0.0
CLOSED_CREDIT_TYPE_Interbank credit,0.0
CLOSED_CREDIT_TYPE_Loan for business development,0.0
CLOSED_CREDIT_TYPE_Loan for purchase of shares (margin lending),0.0
ACTIVE_CREDIT_TYPE_Loan for working capital replenishment,0.0
CLOSED_CREDIT_TYPE_Loan for working capital replenishment,0.0
ALL_DAYS_ENDDATE_FACT_mean,0.0
ALL_CNT_CREDIT_PROLONG_mean,0.0
FLAG_CONT_MOBILE,0.0
NAME_CONTRACT_STATUS_Canceled,0.0
NAME_CONTRACT_STATUS_Unused offer,0.0
NAME_PAYMENT_TYPE_Cash through the bank,0.0
NAME_PAYMENT_TYPE_Cashless from the account of the employer,0.0
NAME_PAYMENT_TYPE_Non-cash from your account,0.0
FLAG_MOBIL,0.0
NAME_CLIENT_TYPE_Refreshed,0.0
NAME_CLIENT_TYPE_XNA,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
NAME_CONTRACT_TYPE_XNA,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0
FLAG_OWN_REALTY,0.0
POS_SK_DPD_DEF_SUM,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
FLAG_EMAIL,0.0
REG_REGION_NOT_LIVE_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
ALL_CNT_CREDIT_PROLONG_sum,0.0
ALL_CREDIT_TYPE_Loan for business development,0.0
PREV_CCB_MONTHS_BALANCE_MAX_MAX,0.0
PREV_CCB_AMT_BALANCE_MEAN_MEAN,0.0
ALL_CREDIT_DAY_OVERDUE_sum,0.0
ALL_CREDIT_DAY_OVERDUE_mean,0.0
ALL_CREDIT_DAY_OVERDUE_max,0.0
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MAX_MAX,0.0
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_SUM_SUM,0.0
ALL_AMT_CREDIT_SUM_OVERDUE_sum,0.0
PREV_CCB_AMT_DRAWINGS_CURRENT_SUM_SUM,0.0
CNT_FAM_MEMBERS_CAT,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_5,0.0
PREV_CCB_CNT_DRAWINGS_CURRENT_SUM_SUM,0.0
EMERGENCYSTATE_MODE,0.0
PREV_CCB_SK_DPD_MAX_MAX,0.0
PREV_CCB_SK_DPD_DEF_MAX_MAX,0.0
PREV_CCB_SK_DPD_DEF_SUM_SUM,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
PREV_CCB_AMT_PAYMENT_CURRENT_SUM_SUM,0.0
ALL_CREDIT_TYPE_Interbank credit,0.0
SOLD_DAYS_CREDIT_ENDDATE_max,0.0
SOLD_CNT_CREDIT_PROLONG_sum,0.0
CLOSED_CREDIT_DAY_OVERDUE_max,0.0
ACTIVE_AMT_CREDIT_SUM_OVERDUE_sum,0.0
SOLD_CREDIT_DAY_OVERDUE_max,0.0
SOLD_CREDIT_DAY_OVERDUE_mean,0.0
SOLD_CREDIT_DAY_OVERDUE_sum,0.0
SOLD_DAYS_CREDIT_ENDDATE_min,0.0
ACTIVE_DAYS_ENDDATE_FACT_max,0.0
ACTIVE_BB_STATUS_X_sum_sum,0.0
SOLD_DAYS_ENDDATE_FACT_min,0.0
SOLD_DAYS_ENDDATE_FACT_max,0.0
SOLD_DAYS_ENDDATE_FACT_mean,0.0
ACTIVE_DAYS_ENDDATE_FACT_min,0.0
CLOSED_BB_STATUS_2_sum_sum,0.0
SOLD_CNT_CREDIT_PROLONG_mean,0.0
SOLD_DAYS_CREDIT_ENDDATE_mean,0.0
ACTIVE_DAYS_ENDDATE_FACT_mean,0.0
CLOSED_CREDIT_DAY_OVERDUE_mean,0.0
CLOSED_CREDIT_DAY_OVERDUE_sum,0.0
CLOSED_BB_MONTHS_BALANCE_max_max,0.0
CLOSED_AMT_ANNUITY_sum,0.0
CLOSED_AMT_CREDIT_SUM_OVERDUE_max,0.0
CLOSED_AMT_CREDIT_SUM_OVERDUE_mean,0.0
CLOSED_AMT_CREDIT_SUM_OVERDUE_sum,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_sum,0.0
CLOSED_BB_STATUS_3_sum_sum,0.0
CLOSED_BB_STATUS_4_sum_sum,0.0
ACTIVE_CNT_CREDIT_PROLONG_sum,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_sum,0.0
ACTIVE_CNT_CREDIT_PROLONG_mean,0.0
CLOSED_CNT_CREDIT_PROLONG_sum,0.0
CLOSED_BB_STATUS_5_sum_sum,0.0
CLOSED_AMT_CREDIT_MAX_OVERDUE_mean,0.0
CLOSED_DAYS_CREDIT_ENDDATE_min,0.0
SOLD_AMT_CREDIT_SUM_sum,0.0
ACTIVE_BB_STATUS_C_sum_sum,0.0
CLOSED_BB_STATUS_1_sum_sum,0.0
SOLD_AMT_CREDIT_SUM_max,0.0
SOLD_BB_MONTHS_BALANCE_mean_mean,0.0
ACTIVE_BB_STATUS_3_sum_sum,0.0
ACTIVE_BB_STATUS_2_sum_sum,0.0
SOLD_BB_STATUS_0_sum_sum,0.0
SOLD_BB_STATUS_1_sum_sum,0.0
SOLD_BB_STATUS_2_sum_sum,0.0
SOLD_BB_STATUS_3_sum_sum,0.0
SOLD_BB_MONTHS_BALANCE_max_max,0.0
SOLD_BB_STATUS_4_sum_sum,0.0
SOLD_BB_STATUS_5_sum_sum,0.0
ACTIVE_AMT_ANNUITY_max,0.0
SOLD_BB_STATUS_C_sum_sum,0.0
SOLD_BB_STATUS_X_sum_sum,0.0
ALL_CREDIT_TYPE_Another type of loan,0.0
ACTIVE_AMT_ANNUITY_sum,0.0
ALL_CREDIT_TYPE_Cash loan (non-earmarked),0.0
ACTIVE_AMT_CREDIT_SUM_OVERDUE_max,0.0
SOLD_AMT_CREDIT_SUM_mean,0.0
SOLD_BB_MONTHS_BALANCE_min_min,0.0
SOLD_AMT_CREDIT_SUM_OVERDUE_max,0.0
SOLD_AMT_CREDIT_SUM_DEBT_sum,0.0
SOLD_AMT_ANNUITY_sum,0.0
ACTIVE_BB_STATUS_4_sum_sum,0.0
SOLD_AMT_ANNUITY_mean,0.0
ACTIVE_BB_STATUS_5_sum_sum,0.0
SOLD_DAYS_CREDIT_UPDATE_max,0.0
SOLD_AMT_CREDIT_SUM_DEBT_mean,0.0
ACTIVE_CREDIT_DAY_OVERDUE_sum,0.0
SOLD_AMT_ANNUITY_max,0.0
SOLD_AMT_CREDIT_SUM_OVERDUE_mean,0.0
SOLD_AMT_CREDIT_SUM_OVERDUE_sum,0.0
SOLD_AMT_CREDIT_SUM_LIMIT_mean,0.0
SOLD_AMT_CREDIT_SUM_LIMIT_sum,0.0
CLOSED_DAYS_CREDIT_min,1.5756025622870594e-06
ACTIVE_CREDIT_DAY_OVERDUE_mean,6.0700619437081825e-06
CLOSED_AMT_CREDIT_SUM_LIMIT_mean,6.709134753890566e-06
NAME_TYPE_SUITE,7.258463128745341e-06
SOLD_AMT_CREDIT_MAX_OVERDUE_mean,8.072351553578549e-06
SOLD_AMT_CREDIT_MAX_OVERDUE_sum,8.168259564511615e-06
OBS_60_CNT_SOCIAL_CIRCLE,1.0157958486733953e-05
SOLD_DAYS_CREDIT_mean,1.6923078867980835e-05
ACTIVE_DAYS_CREDIT_UPDATE_min,2.1764277407032574e-05
CLOSED_AMT_ANNUITY_max,2.2198876912704614e-05
AMT_INCOME_TOTAL,3.120740750781614e-05
ACTIVE_AMT_CREDIT_MAX_OVERDUE_max,3.147062515156396e-05
REG_CITY_NOT_WORK_CITY,4.051425725948299e-05
ACTIVE_AMT_CREDIT_MAX_OVERDUE_sum,4.095310087193216e-05
CLOSED_DAYS_CREDIT_mean,4.1322551761702186e-05
WALLSMATERIAL_MODE,4.242077864331506e-05
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,4.69415478064672e-05
RATIO_DEF_30,4.7165632240431246e-05
ACTIVE_CREDIT_TYPE_Microloan,4.746859450532881e-05
CLOSED_AMT_ANNUITY_mean,4.866554911835408e-05
ACTIVE_BB_STATUS_1_sum_sum,4.9917527574927514e-05
AMT_REQ_CREDIT_BUREAU_YEAR,5.5981264128512896e-05
ALL_BB_STATUS_C_sum_sum,5.79478513025089e-05
REG_CITY_NOT_LIVE_CITY,5.8202232750304005e-05
CLOSED_AMT_CREDIT_MAX_OVERDUE_sum,6.300842007889162e-05
ACTIVE_BB_MONTHS_BALANCE_min_min,6.379849864557308e-05
PREV_INST_NUM_INSTALMENT_VERSION_NUNIQUE_NUNIQUE,6.74033707191768e-05
SOLD_DAYS_CREDIT_UPDATE_mean,7.267693140282639e-05
ACTIVE_DAYS_CREDIT_min,7.388778108565752e-05
ACTIVE_BB_MONTHS_BALANCE_max_max,7.48407716908206e-05
ALL_BB_MONTHS_BALANCE_min_min,7.878066434965358e-05
PREV_RATE_DOWN_PAYMENT_MEAN,8.024707786364882e-05
ALL_AMT_CREDIT_SUM_DEBT_sum,8.69572572773647e-05
PREV_AMT_ANNUITY_SUM,8.982858103847579e-05
CLOSED_BB_MONTHS_BALANCE_mean_mean,8.986850619734366e-05
PREV_INST_PAYMENT_DIFF_STD_STD,9.166386017298578e-05
ALL_AMT_CREDIT_MAX_OVERDUE_sum,9.467781615768445e-05
CLOSED_AMT_CREDIT_SUM_mean,9.524150480861859e-05
CLOSED_DAYS_CREDIT_UPDATE_mean,9.938244943175079e-05
ALL_AMT_CREDIT_MAX_OVERDUE_mean,9.973945196257716e-05
ALL_AMT_ANNUITY_max,0.00010151961499722528
PREV_AMT_CREDIT_SUM,0.00010422907537155357
POS_MONTHS_BALANCE_MEAN,0.00010659051198993463
PREV_CCB_AMT_PAYMENT_TOTAL_CURRENT_SUM_SUM,0.00010725564981783897
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_SUM_SUM,0.00011218366179619466
PREV_INST_PAYMENT_DIFF_MIN_MIN,0.00012330831203626323
TOTALAREA_MODE,0.00012843637423032295
YEARS_BEGINEXPLUATATION_MEDI,0.0001292373691792248
CLOSED_AMT_CREDIT_MAX_OVERDUE_max,0.0001375961423363714
REGION_POPULATION_RELATIVE,0.00014742475551450253
OCCUPATION_CLUSTER,0.0001512552469116857
NONLIVINGAREA_MEDI,0.0001524809792759152
ALL_CREDIT_TYPE_Consumer credit,0.00015798367762320797
CLOSED_BB_STATUS_0_sum_sum,0.0001583542841672836
ENTRANCES_MEDI,0.00016729785316234037
CLOSED_BB_STATUS_X_sum_sum,0.00016900222517337581
PREV_INST_PAYMENT_DIFF_MAX_MAX,0.00017258199413963115
