feature,mean_importance
DEBT_RATIO,-0.0031496925564699295
AMT_ANNUITY,-0.000621800877929557
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.000613643438642475
ALL_DAYS_CREDIT_mean,-0.0005216129135453107
ALL_DAYS_CREDIT_UPDATE_mean,-0.00034320830070226903
PREV_INST_EARLY_PAYMENT_SUM_SUM,-0.00031548516777946123
PREV_INST_DPD_SUM_SUM,-0.00029830284793388453
ALL_DAYS_CREDIT_ENDDATE_mean,-0.0002861281434701324
ACTIVE_DAYS_CREDIT_max,-0.0002781050807940222
POS_CNT_INSTALMENT_MEAN,-0.0002298694960318759
CLOSED_AMT_CREDIT_SUM_sum,-0.0002127266403446848
PREV_INST_PAYMENT_PERC_MEAN_MEAN,-0.00017099500861259554
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,-0.00012181161887980796
CLOSED_DAYS_CREDIT_UPDATE_mean,-0.00012093781700612815
CLOSED_DAYS_CREDIT_max,-0.00011749625430121924
APARTMENTS_MEDI,-0.00011352956308836592
ALL_AMT_CREDIT_SUM_DEBT_sum,-0.00011154608404415623
ALL_DAYS_CREDIT_max,-0.00010907117260730014
CLOSED_DAYS_CREDIT_min,-0.00010431356476188202
YEARS_BEGINEXPLUATATION_MEDI,-0.00010403447303362068
PREV_AMT_APPLICATION_MEAN,-0.00010328129297165756
ACTIVE_AMT_CREDIT_SUM_max,-0.00010130895983302412
CLOSED_AMT_CREDIT_SUM_max,-0.00010117416228874187
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.00010071334208729965
NAME_INCOME_TYPE,-9.443390944789965e-05
ACTIVE_AMT_CREDIT_SUM_DEBT_mean,-8.382760319247673e-05
ALL_DAYS_CREDIT_ENDDATE_max,-8.220141528849644e-05
FLAG_GOODS_GT_CREDIT,-8.076662642122478e-05
PREV_INST_DPD_MAX_MAX,-8.030638983995697e-05
ALL_AMT_CREDIT_SUM_sum,-7.772950419551172e-05
ALL_AMT_CREDIT_SUM_DEBT_mean,-7.425765396198435e-05
CLOSED_DAYS_CREDIT_ENDDATE_max,-7.299820207558038e-05
ALL_AMT_ANNUITY_max,-6.670616731201396e-05
ALL_AMT_CREDIT_SUM_max,-6.574776323260423e-05
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,-6.564213168804844e-05
PREV_INST_AMT_INSTALMENT_SUM_SUM,-6.475888948600516e-05
ACTIVE_DAYS_CREDIT_min,-6.075037786013038e-05
CREDIT_ACTIVE_COUNT_CLOSED,-6.070345844662039e-05
ALL_BB_STATUS_0_sum_sum,-5.753806545096829e-05
ALL_BB_STATUS_C_sum_sum,-5.6440606643870515e-05
ALL_AMT_ANNUITY_mean,-5.417726275900314e-05
FLOORSMAX_MEDI,-5.3950511807632215e-05
CLOSED_BB_STATUS_C_sum_sum,-5.318435390861964e-05
CLOSED_BB_STATUS_0_sum_sum,-5.284063661081806e-05
ACTIVE_DAYS_CREDIT_mean,-5.223610950693125e-05
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-5.16822925789473e-05
CLOSED_BB_MONTHS_BALANCE_mean_mean,-5.064708740980528e-05
CLOSED_DAYS_ENDDATE_FACT_max,-4.402840320629764e-05
NAME_FAMILY_STATUS,-4.3558858753178775e-05
NAME_CLIENT_TYPE_New,-4.263532034309847e-05
ALL_AMT_CREDIT_SUM_mean,-4.1127689142594906e-05
ALL_AMT_CREDIT_SUM_LIMIT_mean,-4.0919663333616184e-05
ACTIVE_BB_MONTHS_BALANCE_min_min,-4.0738141245810765e-05
POS_SK_DPD_DEF_MEAN,-3.955139904241456e-05
ALL_DAYS_CREDIT_UPDATE_min,-3.872005921354837e-05
ACTIVE_DAYS_CREDIT_ENDDATE_max,-3.826445235939335e-05
ALL_DAYS_ENDDATE_FACT_mean,-3.791186038943905e-05
YEARS_BUILD_MEDI,-3.6319716180321925e-05
ACTIVE_AMT_ANNUITY_sum,-3.573184578491429e-05
POS_CNT_INSTALMENT_MAX,-3.5269669437765215e-05
NAME_CONTRACT_TYPE_Consumer loans,-3.059397536406827e-05
OBS_60_CNT_SOCIAL_CIRCLE,-3.0196626785516935e-05
PREV_INST_AMT_PAYMENT_MAX_MAX,-2.902877823789396e-05
ALL_AMT_CREDIT_MAX_OVERDUE_mean,-2.7016204287488856e-05
POS_CNT_INSTALMENT_FUTURE_MAX,-2.6339842618372523e-05
LIVINGAREA_MEDI,-2.59815626608928e-05
CLOSED_BB_MONTHS_BALANCE_min_min,-2.56350005688466e-05
CLOSED_AMT_ANNUITY_max,-2.555550970944065e-05
PREV_AMT_CREDIT_SUM,-2.3604358037143668e-05
ACTIVE_DAYS_CREDIT_UPDATE_min,-2.290871155052887e-05
AMT_REQ_CREDIT_BUREAU_MON,-2.2297382728453385e-05
BUREAU_LOAN_COUNT,-2.1960857848957183e-05
CLOSED_DAYS_ENDDATE_FACT_mean,-2.1739035132339878e-05
ACTIVE_DAYS_CREDIT_UPDATE_max,-2.1539442155416032e-05
REG_CITY_NOT_LIVE_CITY,-2.12980444183275e-05
WEEKDAY_APPR_PROCESS_START_SATURDAY,-2.00559795580979e-05
ALL_DAYS_CREDIT_min,-2.005088294279034e-05
PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MEAN,-1.991903205136314e-05
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_SUM_SUM,-1.9744724043779806e-05
NAME_CONTRACT_STATUS_Refused,-1.9573074926526603e-05
AMT_REQ_CREDIT_BUREAU_QRT,-1.890372332882251e-05
WEEKDAY_APPR_PROCESS_START_MONDAY,-1.8716872456603363e-05
PREV_INST_PAYMENT_DIFF_STD_STD,-1.790196911237718e-05
ORG_PREFIX_GROUP,-1.658423214097038e-05
CLOSED_AMT_CREDIT_SUM_mean,-1.630254279392229e-05
TOTAL_BUREAU_REQUESTS,-1.6269050426132026e-05
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_SUM_SUM,-1.5899983341083336e-05
PREV_AMT_CREDIT_MAX,-1.5242080155086769e-05
CLOSED_AMT_CREDIT_MAX_OVERDUE_sum,-1.5139584773815607e-05
ALL_CREDIT_TYPE_Credit card,-1.5121933769624007e-05
RATIO_DEF_60,-1.435199683308408e-05
RATIO_DEF_30,-1.4191048830780596e-05
NAME_CONTRACT_STATUS_Approved,-1.3791000369467454e-05
PREV_CCB_AMT_TOTAL_RECEIVABLE_MEAN_MEAN,-1.3172864785526706e-05
PREV_CCB_AMT_PAYMENT_TOTAL_CURRENT_SUM_SUM,-1.2987010078457928e-05
OWN_CAR_AGE,-1.2721535423310115e-05
ACTIVE_DAYS_CREDIT_ENDDATE_min,-1.2681049918428223e-05
CLOSED_DAYS_CREDIT_mean,-1.233977708190448e-05
LIVE_REGION_NOT_WORK_REGION,-1.147945073709522e-05
ALL_AMT_CREDIT_MAX_OVERDUE_max,-9.55027954723242e-06
ALL_DAYS_ENDDATE_FACT_max,-9.377209345062808e-06
ACTIVE_BB_STATUS_C_sum_sum,-9.36005033553844e-06
PREV_HOUR_APPR_PROCESS_START_MAX,-8.975398043920002e-06
ACTIVE_CREDIT_TYPE_Consumer credit,-8.948394144892013e-06
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MAX_MAX,-8.915643111762073e-06
ACTIVE_BB_MONTHS_BALANCE_max_max,-8.5937880419662e-06
PREV_CCB_AMT_PAYMENT_CURRENT_SUM_SUM,-8.550381387228967e-06
AMT_INCOME_TOTAL,-8.361235160059265e-06
WEEKDAY_APPR_PROCESS_START_THURSDAY,-8.26116959289358e-06
ACTIVE_AMT_ANNUITY_mean,-8.246065100991906e-06
CNT_FAM_MEMBERS_CAT,-7.927813888986002e-06
CLOSED_BB_STATUS_X_sum_sum,-7.599102154620674e-06
CLOSED_AMT_CREDIT_MAX_OVERDUE_mean,-7.3632597871631235e-06
WEEKDAY_APPR_PROCESS_START_SUNDAY,-7.35992142659736e-06
PREV_CCB_SK_DPD_DEF_SUM_SUM,-7.159576541493351e-06
ACTIVE_AMT_CREDIT_SUM_DEBT_sum,-7.092058772650844e-06
ALL_AMT_CREDIT_MAX_OVERDUE_sum,-6.5992687457772096e-06
FLAG_WORK_PHONE,-6.304030860881937e-06
WEEKDAY_APPR_PROCESS_START_TUESDAY,-6.140073087856912e-06
PREV_INST_PAYMENT_DIFF_MIN_MIN,-6.026766062028344e-06
OCCUPATION_TYPE,-5.7388389466339614e-06
NAME_HOUSING_TYPE,-5.141099578676034e-06
PREV_AMT_DOWN_PAYMENT_SUM,-5.116904694779656e-06
CLOSED_DAYS_ENDDATE_FACT_min,-4.9483233616420815e-06
NAME_CLIENT_TYPE_Repeater,-4.52998383366765e-06
PREV_DAYS_DECISION_MAX,-4.130669896906802e-06
PREV_INST_PAYMENT_PERC_STD_STD,-3.87417861791306e-06
PREV_INST_NUM_INSTALMENT_VERSION_NUNIQUE_NUNIQUE,-3.7631596606857443e-06
POS_SK_DPD_MAX,-3.3882716457878103e-06
CLOSED_DAYS_CREDIT_UPDATE_max,-3.1929902861493885e-06
ALL_CREDIT_TYPE_Microloan,-3.047921719079305e-06
RECENT_PHONE_CHANGE,-2.782574786519554e-06
POS_SK_DPD_DEF_MAX,-2.432478839442531e-06
NONLIVINGAPARTMENTS_MEDI,-2.3764379513790955e-06
ALL_AMT_ANNUITY_sum,-1.9889464196065633e-06
NAME_TYPE_SUITE,-1.5475467902481554e-06
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_SUM_SUM,-1.4497195112372908e-06
ALL_BB_MONTHS_BALANCE_min_min,-1.4452813589693747e-06
CLOSED_AMT_ANNUITY_sum,-1.016936851261363e-06
ACTIVE_AMT_CREDIT_SUM_LIMIT_sum,-9.729968548422007e-07
DEF_30_CNT_SOCIAL_CIRCLE,-5.053482321271119e-07
FLAG_DOCUMENT_8,-4.423710342704723e-07
FLOORSMIN_MEDI,-2.9928962137493186e-07
NAME_PAYMENT_TYPE_XNA,-3.829760866214116e-08
SOLD_AMT_CREDIT_SUM_LIMIT_sum,0.0
SOLD_AMT_CREDIT_SUM_OVERDUE_mean,0.0
ALL_CREDIT_TYPE_Loan for business development,0.0
SOLD_AMT_CREDIT_SUM_mean,0.0
ALL_CREDIT_TYPE_Interbank credit,0.0
SOLD_BB_STATUS_2_sum_sum,0.0
SOLD_AMT_CREDIT_SUM_OVERDUE_sum,0.0
SOLD_AMT_CREDIT_SUM_LIMIT_mean,0.0
SOLD_AMT_CREDIT_SUM_max,0.0
SOLD_AMT_CREDIT_SUM_DEBT_sum,0.0
SOLD_AMT_CREDIT_SUM_DEBT_mean,0.0
SOLD_DAYS_CREDIT_UPDATE_min,0.0
ALL_CREDIT_TYPE_Cash loan (non-earmarked),0.0
SOLD_DAYS_CREDIT_UPDATE_max,0.0
SOLD_DAYS_CREDIT_UPDATE_mean,0.0
SOLD_BB_STATUS_3_sum_sum,0.0
SOLD_BB_STATUS_4_sum_sum,0.0
SOLD_BB_STATUS_5_sum_sum,0.0
SOLD_BB_STATUS_C_sum_sum,0.0
SOLD_BB_STATUS_X_sum_sum,0.0
SOLD_BB_STATUS_0_sum_sum,0.0
SOLD_BB_STATUS_1_sum_sum,0.0
SOLD_BB_MONTHS_BALANCE_mean_mean,0.0
ALL_CREDIT_TYPE_Car loan,0.0
SOLD_BB_MONTHS_BALANCE_max_max,0.0
SOLD_BB_MONTHS_BALANCE_min_min,0.0
SOLD_AMT_ANNUITY_max,0.0
SOLD_AMT_ANNUITY_sum,0.0
SOLD_AMT_ANNUITY_mean,0.0
ALL_CREDIT_TYPE_Another type of loan,0.0
SOLD_AMT_CREDIT_SUM_OVERDUE_max,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
ALL_CREDIT_TYPE_Loan for the purchase of equipment,0.0
CLOSED_CREDIT_TYPE_Unknown type of loan,0.0
SOLD_CREDIT_TYPE_Another type of loan,0.0
SOLD_CREDIT_TYPE_Car loan,0.0
SOLD_CREDIT_TYPE_Cash loan (non-earmarked),0.0
SOLD_CREDIT_TYPE_Consumer credit,0.0
SOLD_CREDIT_TYPE_Credit card,0.0
SOLD_CREDIT_TYPE_Loan for business development,0.0
SOLD_CREDIT_TYPE_Loan for working capital replenishment,0.0
SOLD_CREDIT_TYPE_Microloan,0.0
SOLD_AMT_CREDIT_SUM_sum,0.0
SOLD_CREDIT_TYPE_Mortgage,0.0
SOLD_CREDIT_TYPE_Real estate loan,0.0
CREDIT_ACTIVE_COUNT_BAD DEBT,0.0
