feature,mean_importance
EXT_SOURCE_3,-0.009293399695841597
AMT_ANNUITY,-0.008306830930281483
AMT_CREDIT,-0.006476886346635546
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.0045575729624609315
DEBT_RATIO,-0.0033938855900535357
ACTIVE_DAYS_CREDIT_ENDDATE_mean,-0.003152797439147359
PREV_INST_EARLY_PAYMENT_MEAN_MEAN,-0.0022117505121178383
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-0.002153204425621502
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,-0.0020344059673909286
PREV_AMT_DOWN_PAYMENT_SUM,-0.0020299624282330564
CREDIT_ACTIVE_COUNT_ACTIVE,-0.0019428252013814484
PREV_INST_AMT_PAYMENT_MAX_MAX,-0.001938636632121904
OCCUPATION_TYPE,-0.0017757786342690318
PREV_DAYS_DECISION_MAX,-0.0017751689908301004
ALL_DAYS_CREDIT_ENDDATE_mean,-0.001773127638086258
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,-0.0017130607373331054
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.0016817491824853592
ORGANIZATION_TYPE,-0.0015275823043814584
NAME_CONTRACT_TYPE,-0.001522320045142922
CLOSED_DAYS_CREDIT_UPDATE_max,-0.0015022581570445226
ORGANIZATION_CLUSTER,-0.0014640837205019519
NAME_INCOME_TYPE,-0.0014633662138348491
POS_CNT_INSTALMENT_MAX,-0.0014604729792651039
ALL_DAYS_CREDIT_UPDATE_mean,-0.0014383015120881027
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.0014122853175313698
PREV_DAYS_DECISION_MEAN,-0.001318833965084809
FLAG_DOCUMENT_3,-0.0012094376705266362
CLOSED_DAYS_CREDIT_max,-0.0011863069094086188
REGION_RATING_CLIENT_W_CITY,-0.001055531560031664
ALL_DAYS_CREDIT_ENDDATE_max,-0.0010379967379926303
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,-0.0010204715112468454
ACTIVE_DAYS_CREDIT_max,-0.0010191592135850413
PREV_CCB_AMT_BALANCE_SUM_SUM,-0.0010152793318013887
ALL_DAYS_CREDIT_max,-0.0008957178205082128
PREV_HOUR_APPR_PROCESS_START_MEAN,-0.0008105029223081095
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.0007642152566284643
PREV_INST_PAYMENT_DIFF_MAX_MAX,-0.0007230590810004989
NAME_CLIENT_TYPE_New,-0.0007131264792761049
PREV_INST_EARLY_REPAY_LOAN_MAX_MEAN,-0.0006861183280878258
OWN_CAR_AGE,-0.0006692421668960336
PREV_AMT_CREDIT_MAX,-0.0006665480707962023
PREV_AMT_ANNUITY_MEAN,-0.0006548675166957452
ACTIVE_CREDIT_TYPE_Mortgage,-0.0006522167436747051
ACTIVE_DAYS_CREDIT_mean,-0.000624105003444142
ALL_DAYS_CREDIT_UPDATE_max,-0.0006186994198524864
PREV_INST_AMT_INSTALMENT_MEAN_MEAN,-0.000611014822531919
ALL_AMT_CREDIT_SUM_max,-0.000606273723621209
DAYS_ID_PUBLISH,-0.00059362698292027
PREV_CCB_SK_DPD_DEF_MEAN_MEAN,-0.00056175775948899
REGION_POPULATION_RELATIVE,-0.0005400691872167185
ACTIVE_DAYS_CREDIT_ENDDATE_max,-0.0005239564227810911
ACTIVE_CREDIT_TYPE_Credit card,-0.000493696905712393
