feature,mean_importance
CODE_GENDER,-0.00036811818952207085
SK_ID_CURR,0.0
CLOSED_CREDIT_TYPE_Another type of loan,0.0
ACTIVE_CREDIT_TYPE_Unknown type of loan,0.0
ACTIVE_CREDIT_TYPE_Real estate loan,0.0
ACTIVE_CREDIT_TYPE_Mortgage,0.0
ACTIVE_CREDIT_TYPE_Mobile operator loan,0.0
ACTIVE_CREDIT_TYPE_Microloan,0.0
ACTIVE_CREDIT_TYPE_Loan for working capital replenishment,0.0
ACTIVE_CREDIT_TYPE_Loan for the purchase of equipment,0.0
ACTIVE_CREDIT_TYPE_Loan for purchase of shares (margin lending),0.0
ACTIVE_CREDIT_TYPE_Loan for business development,0.0
ACTIVE_CREDIT_TYPE_Credit card,0.0
ACTIVE_CREDIT_TYPE_Consumer credit,0.0
ACTIVE_CREDIT_TYPE_Cash loan (non-earmarked),0.0
ACTIVE_CREDIT_TYPE_Car loan,0.0
ACTIVE_CREDIT_TYPE_Another type of loan,0.0
ALL_CREDIT_TYPE_Unknown type of loan,0.0
ALL_CREDIT_TYPE_Real estate loan,0.0
ALL_CREDIT_TYPE_Mortgage,0.0
ALL_CREDIT_TYPE_Mobile operator loan,0.0
ALL_CREDIT_TYPE_Microloan,0.0
ALL_CREDIT_TYPE_Loan for working capital replenishment,0.0
ALL_CREDIT_TYPE_Loan for the purchase of equipment,0.0
ALL_CREDIT_TYPE_Loan for purchase of shares (margin lending),0.0
ALL_CREDIT_TYPE_Loan for business development,0.0
ALL_CREDIT_TYPE_Interbank credit,0.0
CLOSED_CREDIT_TYPE_Car loan,0.0
CLOSED_CREDIT_TYPE_Cash loan (non-earmarked),0.0
CLOSED_CREDIT_TYPE_Consumer credit,0.0
CLOSED_CREDIT_TYPE_Credit card,0.0
BUREAU_LOAN_COUNT,0.0
OVERDUE_RATIO,0.0
DEBT_RATIO,0.0
CREDIT_ACTIVE_COUNT_SOLD,0.0
CREDIT_ACTIVE_COUNT_CLOSED,0.0
CREDIT_ACTIVE_COUNT_BAD DEBT,0.0
CREDIT_ACTIVE_COUNT_ACTIVE,0.0
SOLD_CREDIT_TYPE_Real estate loan,0.0
SOLD_CREDIT_TYPE_Mortgage,0.0
SOLD_CREDIT_TYPE_Microloan,0.0
SOLD_CREDIT_TYPE_Loan for working capital replenishment,0.0
SOLD_CREDIT_TYPE_Loan for business development,0.0
ALL_CREDIT_TYPE_Credit card,0.0
SOLD_CREDIT_TYPE_Credit card,0.0
SOLD_CREDIT_TYPE_Cash loan (non-earmarked),0.0
SOLD_CREDIT_TYPE_Car loan,0.0
SOLD_CREDIT_TYPE_Another type of loan,0.0
CLOSED_CREDIT_TYPE_Unknown type of loan,0.0
