feature,mean_importance
AMT_ANNUITY,-0.01451269493270565
AMT_CREDIT,-0.0099002632877363
EXT_SOURCE_3,-0.006506762337538307
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.004490215719231028
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.004326481968891538
POS_CNT_INSTALMENT_MAX,-0.003982386215748579
ALL_DAYS_CREDIT_ENDDATE_max,-0.0029593752166650945
PREV_AMT_DOWN_PAYMENT_SUM,-0.0025742438509110954
PREV_INST_AMT_INSTALMENT_MAX_MAX,-0.002173120410856333
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,-0.0020269052898914007
DEBT_RATIO,-0.0019129025327028649
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,-0.0017023423416722139
PREV_DAYS_DECISION_MAX,-0.0016733074350057998
ACTIVE_DAYS_CREDIT_ENDDATE_mean,-0.001638738761768943
PREV_INST_EARLY_PAYMENT_SUM_SUM,-0.0016202375920908452
ALL_DAYS_CREDIT_ENDDATE_mean,-0.0014692024339201027
CREDIT_ACTIVE_COUNT_ACTIVE,-0.0014219099817758484
FLAG_GOODS_GT_CREDIT,-0.001415760987699044
PREV_AMT_ANNUITY_MAX,-0.0013757273261701508
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.001314743080032299
ACTIVE_DAYS_CREDIT_ENDDATE_min,-0.001301263392228158
POS_CNT_INSTALMENT_FUTURE_MAX,-0.0012991406767940417
NAME_EDUCATION_TYPE,-0.001267357959475479
PREV_INST_AMT_PAYMENT_MEAN_MEAN,-0.0011982113475440537
PREV_CCB_AMT_TOTAL_RECEIVABLE_MEAN_MEAN,-0.0011372795844486027
ACTIVE_DAYS_CREDIT_max,-0.0011126792740174807
NAME_CONTRACT_TYPE,-0.0010581203681538254
REGION_RATING_CLIENT_W_CITY,-0.001051643890413323
PREV_CCB_AMT_BALANCE_MEAN_MEAN,-0.0010466792828818018
ALL_DAYS_CREDIT_mean,-0.0010371923048920983
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,-0.0010278760068597847
PREV_DAYS_DECISION_MEAN,-0.0010104497818381963
PREV_INST_AMT_PAYMENT_MAX_MAX,-0.0010067051247450332
CLOSED_DAYS_CREDIT_ENDDATE_max,-0.0009654236788938508
ACTIVE_AMT_CREDIT_SUM_max,-0.0009140752165801124
RECENT_PHONE_CHANGE,-0.0008746962887587362
PREV_CCB_AMT_BALANCE_MAX_MAX,-0.0008351340267206853
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.0008285634603792281
POS_CNT_INSTALMENT_MEAN,-0.0008026195316981566
PREV_AMT_CREDIT_MEAN,-0.0007920923114091538
ALL_CREDIT_TYPE_Consumer credit,-0.0007890369028227928
