feature,mean_importance
AMT_CREDIT,-0.010602534229484184
AMT_ANNUITY,-0.008933765507568626
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.004876950347008346
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.00435497924798991
POS_CNT_INSTALMENT_MAX,-0.003614409996292078
POS_MONTHS_BALANCE_MAX,-0.0035978588693975746
ALL_DAYS_CREDIT_mean,-0.0024745461503307585
AMT_GOODS_PRICE,-0.0024735841893556154
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.0022756167032546683
DEBT_RATIO,-0.0022641425354740785
PREV_AMT_APPLICATION_SUM,-0.002236057750183873
NAME_CONTRACT_TYPE,-0.0022122831347115347
PREV_INST_PAYMENT_DIFF_MAX_MAX,-0.0020177355250428517
PREV_INST_DPD_MEAN_MEAN,-0.001996825151018178
FLAG_GOODS_GT_CREDIT,-0.0019262716241431389
ACTIVE_DAYS_CREDIT_ENDDATE_mean,-0.0018801629150495768
POS_CNT_INSTALMENT_MEAN,-0.0018076097555373982
PREV_AMT_ANNUITY_MEAN,-0.0017142053339254115
PREV_DAYS_DECISION_MAX,-0.0016787112107987888
PREV_DAYS_DECISION_MEAN,-0.0016659128406210089
POS_CNT_INSTALMENT_FUTURE_MAX,-0.0015457879116840489
PREV_AMT_DOWN_PAYMENT_SUM,-0.0014803936533615669
ALL_AMT_CREDIT_SUM_sum,-0.0014042102087420626
ALL_DAYS_CREDIT_UPDATE_mean,-0.001393265369322827
PREV_AMT_DOWN_PAYMENT_MAX,-0.0012036041523951768
CLOSED_DAYS_CREDIT_UPDATE_max,-0.0011514304376664785
PREV_INST_AMT_PAYMENT_MEAN_MEAN,-0.0011098564149714552
PREV_INST_DAYS_INSTALMENT_MEAN_MEAN,-0.0011087769515682577
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,-0.0010890633894704127
OCCUPATION_CLUSTER,-0.0010178533326128392
PREV_INST_DPD_MAX_MAX,-0.0009574601764566149
ORGANIZATION_CLUSTER,-0.0008873214416139196
AMT_REQ_CREDIT_BUREAU_QRT,-0.000867552032668506
PREV_CCB_AMT_TOTAL_RECEIVABLE_MEAN_MEAN,-0.0008545182860149492
PREV_INST_AMT_INSTALMENT_SUM_SUM,-0.0008276339756898565
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-0.0008262548418390692
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,-0.0007882106152639512
CLOSED_DAYS_CREDIT_UPDATE_min,-0.0007779650798586557
PREV_INST_EARLY_REPAY_LOAN_MAX_MEAN,-0.0007759479180418083
TOTAL_BUREAU_REQUESTS,-0.0007681570104782987
PREV_HOUR_APPR_PROCESS_START_MEAN,-0.0007458697401963033
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,-0.0007407020581872814
ACTIVE_DAYS_CREDIT_max,-0.0007341955891506213
ACTIVE_BB_STATUS_0_sum_sum,-0.0007320447285877885
RATIO_DEF_30,-0.0007231557039855563
PREV_AMT_GOODS_PRICE_MAX,-0.0007156480215716688
CLOSED_DAYS_CREDIT_min,-0.0007088209979920768
PREV_INST_EARLY_PAYMENT_SUM_SUM,-0.0006928273870888902
PREV_AMT_CREDIT_MEAN,-0.0006772681836669569
PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MEAN,-0.0006649923890512
ALL_AMT_CREDIT_SUM_mean,-0.0006597209215402522
OWN_CAR_AGE,-0.0006536037250052917
ACTIVE_DAYS_CREDIT_ENDDATE_max,-0.0006365102393634415
RECENT_PHONE_CHANGE,-0.0006324437637999613
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.0006077407721652772
TOTALAREA_MODE,-0.000591028467457444
CLOSED_AMT_CREDIT_SUM_max,-0.0005839994762445011
POS_SK_DPD_DEF_MEAN,-0.000556789875375574
REGION_RATING_CLIENT_W_CITY,-0.0005328271144338093
POS_MONTHS_BALANCE_MEAN,-0.0005207202262103694
PREV_INST_PAYMENT_PERC_MEAN_MEAN,-0.00048722755051440193
PREV_CCB_AMT_BALANCE_MAX_MAX,-0.00047533214067361216
LANDAREA_MEDI,-0.00046057847751115324
PREV_INST_AMT_INSTALMENT_MEAN_MEAN,-0.0004565773171704146
FLAG_WORK_PHONE,-0.00045650696593364516
CLOSED_BB_MONTHS_BALANCE_mean_mean,-0.00044923576775188765
EDUCATION_LEVEL,-0.0004402670576420187
ACTIVE_CREDIT_TYPE_Microloan,-0.0004348696661386819
PREV_INST_DAYS_INSTALMENT_MIN_MIN,-0.0004332835536741797
PREV_INST_PAYMENT_DIFF_MIN_MIN,-0.00040655299852088156
ALL_AMT_CREDIT_SUM_max,-0.00040071275935309457
NAME_CLIENT_TYPE_New,-0.0003986843137536944
ALL_DAYS_CREDIT_max,-0.0003963931243642138
PREV_CCB_MONTHS_BALANCE_MIN_MIN,-0.0003810781062931534
NAME_PAYMENT_TYPE_XNA,-0.0003778505616182759
ALL_DAYS_ENDDATE_FACT_mean,-0.00037589297651425825
ALL_AMT_ANNUITY_sum,-0.00036466014165881244
NAME_CONTRACT_TYPE_Cash loans,-0.0003626063524658996
CLOSED_CREDIT_TYPE_Credit card,-0.00035000634077229085
COMMONAREA_MEDI,-0.00034525622982946037
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_SUM_SUM,-0.0003424710825713273
ALL_CREDIT_TYPE_Consumer credit,-0.0003421254006424901
CLOSED_DAYS_CREDIT_UPDATE_mean,-0.00033765100582301423
ALL_DAYS_ENDDATE_FACT_min,-0.000331957454450138
PREV_INST_PAYMENT_DIFF_STD_STD,-0.0003127249071582794
FLAG_DOCUMENT_3,-0.0003123974640282023
PREV_AMT_ANNUITY_SUM,-0.00030926793643881734
CREDIT_ACTIVE_COUNT_CLOSED,-0.00030880698313267007
PREV_CCB_AMT_TOTAL_RECEIVABLE_MAX_MAX,-0.00030455332055554505
CLOSED_BB_STATUS_0_sum_sum,-0.0002963986756618242
ACTIVE_DAYS_CREDIT_UPDATE_mean,-0.0002963864283229034
ALL_DAYS_CREDIT_ENDDATE_mean,-0.0002944562216123048
ACTIVE_BB_MONTHS_BALANCE_mean_mean,-0.00029101276963083844
PREV_CCB_MONTHS_BALANCE_MEAN_MEAN,-0.00028182746479050725
PREV_HOUR_APPR_PROCESS_START_MAX,-0.00027878191892554137
REGION_POPULATION_RELATIVE,-0.00027122722103876116
WEEKDAY_APPR_PROCESS_START_THURSDAY,-0.0002662884477388605
ACTIVE_AMT_CREDIT_SUM_DEBT_mean,-0.0002604483407398606
PREV_CCB_AMT_BALANCE_MEAN_MEAN,-0.00025020577941543555
PREV_INST_AMT_PAYMENT_MAX_MAX,-0.00024213081656512258
PREV_CCB_AMT_DRAWINGS_CURRENT_SUM_SUM,-0.00023637451561533406
ACTIVE_CREDIT_TYPE_Car loan,-0.00023463967679997476
NAME_CONTRACT_STATUS_Approved,-0.0002321703310965928
CLOSED_DAYS_CREDIT_mean,-0.0002190262706865509
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,-0.00021894545252780783
WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.00021772818979115538
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_MEAN_MEAN,-0.00021670658119190555
ALL_DAYS_CREDIT_UPDATE_min,-0.00021659615351345973
BUREAU_LOAN_COUNT,-0.0002121662689503534
NAME_HOUSING_TYPE,-0.00021179988063937393
NAME_PAYMENT_TYPE_Cash through the bank,-0.00020176873057031752
DAYS_REGISTRATION,-0.00020073862569383038
ACTIVE_DAYS_CREDIT_UPDATE_min,-0.00018299743871026398
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MAX_MAX,-0.0001806561287072572
NAME_CLIENT_TYPE_Refreshed,-0.00017655668444380713
NAME_EDUCATION_TYPE,-0.00017208030033328826
CLOSED_BB_STATUS_X_sum_sum,-0.00016847526765322306
ALL_BB_STATUS_X_sum_sum,-0.00016126398866547209
PREV_RATE_DOWN_PAYMENT_MEAN,-0.00015889248291891533
HOUR_APPR_PROCESS_START,-0.00015700912525806743
PREV_INST_DPD_SUM_SUM,-0.00015627305592844643
CLOSED_BB_STATUS_C_sum_sum,-0.00015029758202826925
ACTIVE_AMT_ANNUITY_sum,-0.00014982915050276713
POS_SK_DPD_SUM,-0.0001480201566394168
ALL_CNT_CREDIT_PROLONG_mean,-0.00014593860176681517
PREV_RATE_DOWN_PAYMENT_MIN,-0.00014589837891263447
ACTIVE_DAYS_CREDIT_min,-0.0001456473169276329
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,-0.00014305654452091422
AMT_REQ_CREDIT_BUREAU_MON,-0.0001407951124892115
ALL_AMT_ANNUITY_mean,-0.00014056836230993408
PREV_AMT_APPLICATION_MEAN,-0.0001368699485623015
CLOSED_AMT_ANNUITY_mean,-0.00013657409784697538
ACTIVE_DAYS_CREDIT_mean,-0.0001346831579438046
CNT_CHILDREN,-0.0001334903233719764
CLOSED_BB_STATUS_1_sum_sum,-0.00013296798057089721
WEEKDAY_APPR_PROCESS_START_MONDAY,-0.0001326982608294669
CLOSED_AMT_CREDIT_SUM_sum,-0.00013168544094521728
PREV_AMT_CREDIT_MAX,-0.00013055886033077612
ALL_BB_STATUS_C_sum_sum,-0.00012955504149811948
ACTIVE_AMT_CREDIT_SUM_LIMIT_sum,-0.00012407261072309162
REGION_RATING_CLIENT,-0.00011858387317114083
PREV_HOUR_APPR_PROCESS_START_MIN,-0.00011771822113724185
CNT_FAM_MEMBERS,-0.00011411287772771228
NAME_CONTRACT_STATUS_Canceled,-0.00010404557305303541
CNT_CHILDREN_CAT,-0.00010303963369815428
FLOORSMAX_MEDI,-0.00010268634402739174
NAME_CLIENT_TYPE_Repeater,-0.00010184680337284035
POS_SK_DPD_DEF_SUM,-0.00010043417881051564
PREV_CCB_AMT_BALANCE_SUM_SUM,-9.053374001746217e-05
REG_CITY_NOT_WORK_CITY,-8.625057341964393e-05
ALL_AMT_CREDIT_SUM_DEBT_sum,-8.436729414931232e-05
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MAX_MAX,-8.341172532675412e-05
WEEKDAY_APPR_PROCESS_START,-8.280800849993497e-05
POS_SK_DPD_MAX,-8.177697925182414e-05
CLOSED_AMT_CREDIT_SUM_DEBT_mean,-7.976550415114136e-05
FLOORSMIN_MEDI,-7.289252089381915e-05
CLOSED_DAYS_CREDIT_ENDDATE_min,-7.079177157429673e-05
OBS_60_CNT_SOCIAL_CIRCLE,-6.803919104148015e-05
LIVINGAREA_MEDI,-6.612471707154733e-05
ACTIVE_BB_MONTHS_BALANCE_max_max,-6.599493138743639e-05
NAME_CONTRACT_STATUS_Refused,-6.526388298511154e-05
FLAG_DOCUMENT_8,-6.489385171626338e-05
YEARS_BEGINEXPLUATATION_MEDI,-6.137362286016135e-05
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_SUM_SUM,-5.9721573674020864e-05
ALL_CREDIT_DAY_OVERDUE_mean,-5.939477290535233e-05
PREV_CCB_AMT_RECIVABLE_MAX_MAX,-5.6127110863046783e-05
ALL_AMT_ANNUITY_max,-4.912280351192511e-05
DEF_30_CNT_SOCIAL_CIRCLE,-4.862694707910009e-05
CLOSED_AMT_ANNUITY_sum,-4.723077719310797e-05
ACTIVE_CNT_CREDIT_PROLONG_mean,-4.62968136796027e-05
PREV_CCB_AMT_PAYMENT_CURRENT_MEAN_MEAN,-4.230851633493238e-05
SOLD_AMT_CREDIT_SUM_sum,-3.587629168730899e-05
ACTIVE_BB_STATUS_C_sum_sum,-3.548916116915546e-05
NAME_CONTRACT_STATUS_Unused offer,-3.5423353887154006e-05
LIVE_CITY_NOT_WORK_CITY,-3.537438670040416e-05
CLOSED_BB_MONTHS_BALANCE_min_min,-3.3360148113348306e-05
AMT_REQ_CREDIT_BUREAU_YEAR,-3.2822944221999605e-05
PREV_CCB_MONTHS_BALANCE_MAX_MAX,-3.147438619452991e-05
CLOSED_AMT_CREDIT_SUM_DEBT_sum,-2.8088809937298896e-05
